DEPT,PZ,GZ,CALI,SP
0.0,6.40256959,4.13276231,,
0.2,6.40256959,4.13276231,,
0.4,6.40256959,4.13276231,,
0.6,6.40256959,4.13276231,,
0.8,6.40256959,4.13276231,,
1.0,6.40256959,4.13276231,,
1.2,6.40256959,4.13276231,,
1.4,6.40256959,4.13276231,,
1.6,6.40256959,4.13276231,,
1.8,6.40256959,4.13276231,,
2.0,6.40256959,4.13276231,,
2.2,6.40256959,4.13276231,,
2.4,6.40256959,4.13276231,,
2.6,6.40256959,4.13276231,,
2.8,6.40256959,4.13276231,,
3.0,6.40256959,4.13276231,,
3.2,6.40256959,4.13276231,,
3.4,6.40256959,4.13276231,,
3.6,6.40256959,4.13276231,,
3.8,6.40256959,4.13276231,,
4.0,6.40256959,4.13276231,,
4.2,6.40256959,4.1327662,,
4.4,6.40256959,4.13261413,,
4.6,6.40256959,4.12552378,,
4.8,6.40256959,4.08380236,,
5.0,6.40256959,4.07214947,,
5.2,6.40256959,4.13015808,,
5.4,6.4024101,4.02488468,,
5.6,6.40082383,6.8299522,,
5.8,6.40526171,12.36646025,,
6.0,6.41168336,12.13252606,35.01884422,
6.2,6.37950425,9.28598639,34.95603015,
6.4,6.59553965,8.51397202,33.5741206,
6.6,9.31278653,7.82873149,33.13442211,
6.8,9.15762318,7.1810559,33.26005025,
7.0,9.14364823,6.93824757,33.61004852,
7.2,9.11470708,7.50996607,33.27048338,
7.4,9.58355083,7.94615421,32.89587343,
7.6,10.0865441,8.37717468,32.66118459,
7.8,10.6714765,8.79995298,32.44205395,
8.0,11.46302507,9.17216616,32.37554749,
8.2,12.18860575,9.18246583,32.35731749,
8.4,12.77397982,9.25097885,32.63531016,
8.6,13.20168825,9.40688422,33.07751679,
8.8,8.4242974,9.52655889,33.35592286,
9.0,8.0823271,7.74176974,33.66721621,
9.2,7.56991612,7.06894393,33.66474105,
9.4,7.3367381,7.19089006,33.29909674,
9.6,7.17433725,7.54769525,33.07237213,
9.8,7.12267508,7.85312748,33.05257617,
10.0,7.3657446,8.34692526,32.76363918,
10.2,8.1829707,10.08169926,32.69395667,
10.4,8.64570071,9.99363357,32.66981673,
10.6,9.13913948,10.319229,33.02496957,
10.8,10.1318695,12.55134322,33.780618,
11.0,11.01437497,14.7123322,35.09513654,
11.2,12.16298821,17.55816259,35.87592907,
11.4,13.70024933,16.59201755,36.61497861,
11.6,14.83513593,15.13292981,40.40133839,
11.8,16.15032454,13.65917204,37.81254953,
12.0,17.4502508,12.17763367,37.14435656,
12.2,18.7101092,10.69294669,36.99904226,
12.4,19.35930541,9.19839838,36.93383365,
12.6,11.52790829,7.95314294,36.83516764,
12.8,10.46639794,8.12632108,36.31544969,
13.0,10.05497158,8.38675133,36.04525889,25.2189781
13.2,10.07357129,8.64244377,36.40548533,25.2189781
13.4,10.73699256,8.90226907,36.77006691,25.2189781
13.6,11.38801636,9.26846245,37.19214235,25.2189781
13.8,11.70272868,8.83903174,37.73612625,25.2189781
14.0,11.88237936,7.70180379,34.70498242,24.83270748
14.2,11.68945475,6.58707111,34.16615822,24.49744903
14.4,12.03757052,6.32632132,33.52944242,24.16116468
14.6,11.70405377,6.41323412,33.21818373,23.76199188
14.8,12.68478779,6.50859685,33.2125588,23.68580987
15.0,14.26624894,6.60216416,33.92887611,23.8007634
15.2,15.38628868,6.69463306,35.07919387,23.92114093
15.4,15.62619852,6.78389092,35.45078346,24.06329349
15.6,15.26288058,6.72121316,35.64891802,24.05211798
15.8,13.28776127,6.40473004,35.90218964,24.04989562
16.0,11.93168698,6.10042398,35.78600728,24.05043348
16.2,6.54011684,5.80020182,35.78867665,24.05049775
16.4,6.84865058,5.49973786,35.75079542,24.05384754
16.6,6.1294252,5.19781516,35.56831399,23.95505939
16.8,5.57215668,4.89526446,34.97566984,23.90276109
17.0,5.29355027,4.59618998,34.53763657,23.905547
17.2,5.20112341,4.37933034,32.87241555,23.90474439
17.4,5.11756954,4.38867257,31.13940049,23.89187429
17.6,5.04112726,4.39022604,32.23702317,24.02782068
17.8,4.98825319,4.38969834,33.68321274,24.2543242
18.0,4.98958118,4.39066298,34.44713823,24.41149679
18.2,5.01952356,4.39180657,35.01966125,24.49201335
18.4,5.07295184,4.35677531,35.13678449,24.49265606
18.6,5.12086968,4.34867521,34.14451844,24.48756291
18.8,5.11755569,4.34733153,34.03638837,24.48879331
19.0,5.11748816,4.34784051,34.00023575,24.50715195
19.2,5.11447696,4.34360387,34.19141504,24.27904038
19.4,5.10763298,4.38763419,35.12758242,24.2155346
19.6,4.98899316,4.46181317,35.61874326,24.1876598
19.8,4.68603322,4.54570185,33.98525392,24.13522975
20.0,4.64602528,4.63836068,33.90864022,23.9826857
20.2,4.65067964,4.68009953,34.00640957,23.64725126
20.4,4.64560754,4.82526741,34.32681998,23.06331258
20.6,4.69433269,4.81854572,34.77924559,22.60457155
20.8,4.86462333,4.81727789,35.4974194,22.01825437
21.0,4.99130346,4.81791191,33.75357307,21.19696163
21.2,5.06772061,4.81815636,33.55469509,20.47927285
21.4,5.19597491,4.81798715,33.37039284,19.89364801
21.6,5.30343844,4.81783929,33.11515596,18.96787639
21.8,5.38607269,4.81717295,32.6777379,17.62737709
22.0,5.41954834,4.81611501,32.69053021,15.64976538
22.2,5.4829888,4.82063002,32.83289665,14.35236013
22.4,5.65464071,4.83773861,33.28868286,13.56591186
