DEPT,SP,NEUT,GR,CALI,̂,LLD
2920.0,51.11842105,2.96052632,14.26315789,0.19675676,20.71710526,
2920.2,51.11842105,2.96052632,14.26315789,0.19675676,20.71710526,
2920.4,51.11842105,2.87842105,14.47368421,0.19675676,393.15131579,
2920.6,51.11842105,2.75,14.57894737,0.19675676,388.76973684,
2920.8,51.11842105,2.75,14.57894737,0.19675676,388.76973684,
2921.0,49.58421053,2.67105263,14.57894737,0.19675676,393.15131579,
2921.2,48.48421053,2.72368421,15.84210526,0.19675676,397.53289474,
2921.4,47.38421053,2.75,20.78947368,0.19675676,393.15131579,
2921.6,46.28421053,2.75,20.78947368,0.19675676,393.15131579,
2921.8,45.18421053,2.75,19.94736842,0.19675676,380.00657895,
2922.0,44.08421053,2.75,20.30947368,0.20904347,371.24342105,
2922.2,42.98421053,2.7554386,20.78947368,0.2206027,358.09868421,
2922.4,41.88421053,2.76210526,20.78947368,0.23216194,358.09868421,
2922.6,40.78421053,2.76877193,19.94736842,0.2427027,349.33552632,
2922.8,40.85840842,2.77340506,20.44303808,0.24099844,351.61390953,
2923.0,39.69274317,2.76622556,20.39636338,0.24320693,354.84200646,
2923.2,38.57681194,2.75840889,20.30213161,0.24210468,359.77286519,
2923.4,37.45365766,2.75607902,20.25143514,0.2403034,366.53192795,
2923.6,36.37441063,2.76534057,20.26125255,0.2395647,375.22008086,
2923.8,35.3394268,2.78265572,20.27579628,0.23988009,384.42050682,
2924.0,34.25670193,2.79849132,20.30491278,0.24033688,391.35984691,
2924.2,33.04456026,2.80562234,20.44912605,0.24029496,394.52327299,
2924.4,31.7863526,2.80423067,20.76659469,0.23988873,394.09432228,
2924.6,30.7169889,2.80070669,21.15525057,0.23970032,391.70114613,
2924.8,29.98074376,2.80118527,21.39241687,0.24011924,389.1230343,
2925.0,29.43463135,2.80569324,21.30450712,0.24098329,387.11447012,
2925.2,28.77185888,2.80648326,20.92591123,0.24181759,385.24531807,
2925.4,27.85364771,2.79254653,20.47554492,0.2423684,382.73071709,
2925.6,26.83699159,2.7577901,20.17716298,0.24285881,379.20554856,
2925.8,25.92598303,2.7079325,20.10539819,0.24373743,374.83893251,
2926.0,25.07500945,2.66059392,20.19933178,0.24517276,369.94604287,
2926.2,24.05769281,2.63624257,20.39117683,0.24687178,364.77631107,
2926.4,22.83273923,2.64374541,20.64767984,0.24838263,359.61654166,
2926.6,21.72203527,2.67128333,20.88889141,0.2494434,355.02051188,
2926.8,21.13550551,2.69214633,20.94201791,0.25006856,351.69020743,
2927.0,21.15151865,2.68453881,20.678481,0.25043593,349.96354236,
2927.2,21.44432667,2.65006899,20.19219847,0.2508213,349.4990403,
2927.4,21.62379246,2.61374221,19.77343979,0.25155125,349.45984724,
2927.6,21.57922189,2.60346604,19.66231942,0.25280168,349.09487412,
2927.8,21.47319553,2.62731462,19.84725684,0.25433787,348.12049604,
2928.0,21.46754741,2.66810882,20.13485671,0.25560251,346.65499886,
2928.2,21.53694186,2.6992603,20.39013691,0.25621515,344.93929245,
2928.4,21.53521589,2.70578512,20.65384205,0.25633726,343.17805281,
2928.6,21.38131401,2.69190448,21.01780674,0.25639579,341.61122971,
2928.8,21.13244979,2.6736451,21.44116538,0.25649909,340.56472682,
2929.0,20.89423992,2.66602761,21.73687115,0.2562637,340.27896637,
2929.2,20.70806566,2.67453998,21.73732833,0.25529343,340.57348402,
2929.4,20.53507877,2.69274775,21.44387347,0.2536927,340.82631465,
2929.6,20.33192208,2.70588338,21.01579836,0.25198717,340.53333901,
2929.8,20.11037924,2.70016429,20.64366225,0.25060253,339.98333655,
2930.0,19.91994288,2.67543002,20.43005366,0.24957311,340.19669537,
2930.2,19.77948336,2.64826669,20.34802849,0.24877479,341.98212087,
2930.4,19.65130255,2.63875388,20.27648713,0.24824538,345.01503842,
2930.6,19.48013135,2.65108599,20.1025906,0.24809678,347.94501314,
2930.8,19.25058386,2.66853737,19.83718472,0.24818079,349.56390976,
2931.0,19.00630701,2.6701075,19.64874104,0.24804056,349.79526592,
2931.2,18.81869079,2.65209765,19.74662026,0.24734394,349.50858289,
2931.4,18.73546479,2.63144192,20.18109921,0.24626865,349.41723896,
2931.6,18.74447644,2.62741605,20.73992343,0.24537473,349.29600611,
2931.8,18.77590836,2.64284841,21.08637191,0.24509879,348.36324957,
2932.0,18.74847951,2.66399833,21.03525919,0.24547302,346.31358484,
2932.2,18.63270901,2.67618539,20.71156348,0.24631872,343.75287274,
2932.4,18.47449317,2.67631036,20.41502558,0.24757198,341.6455639,
2932.6,18.35379535,2.67114475,20.32754081,0.24927143,340.48894639,
2932.8,18.31415004,2.66772749,20.36852505,0.25123557,340.12431812,
2933.0,18.33525409,2.66834379,20.34000905,0.2529213,340.22325321,
2933.2,18.36478917,2.67175175,20.17127379,0.25375421,340.74793309,
2933.4,18.36857677,2.67509748,19.98453093,0.25360061,341.8743949,
2933.6,18.35130001,2.67407435,19.92262403,0.25283342,343.50749653,
2933.8,18.3386204,2.66484761,19.9645677,0.25189273,345.04225133,
2934.0,18.34610327,2.64857712,19.94247589,0.25088394,345.68060019,
2934.2,18.36471522,2.63416839,19.71706163,0.24965427,345.05853625,
2934.4,18.36873475,2.6324382,19.29370879,0.24814373,343.55276326,
2934.6,18.34422889,2.64532239,18.77126339,0.24655133,341.93138595,
2934.8,18.31502085,2.66141324,18.22154263,0.24524916,340.75286282,
2935.0,18.33860001,2.66373181,17.66730022,0.24462209,340.13979759,
2935.2,18.4571439,2.64411207,17.1598766,0.24491506,340.06650751,
2935.4,18.65083345,2.61044287,16.81732196,0.24595575,340.55231676,
2935.6,18.85052215,2.57947674,16.73894975,0.24698188,341.31538565,
2935.8,19.00631807,2.56297144,16.88099033,0.24703919,341.48934193,
2936.0,19.13722426,2.5604855,17.05014168,0.24588011,340.1582436,
2936.2,19.3030316,2.56395916,17.05018673,0.24445368,337.41921711,
2936.4,19.52999317,2.5669227,16.8521402,0.24429116,334.56811458,
2936.6,19.77491491,2.56823068,16.63028983,0.24627558,332.81196168,
2936.8,19.9705176,2.56832,16.62174521,0.2500179,331.79996399,
2937.0,20.09626766,2.56452399,16.9307911,0.25436903,329.91037276,
2937.2,20.19389531,2.55234046,17.42922605,0.25832557,326.18310943,
