DEPT,ÃÇ,ÏÇ,SP,CALI
2940.0,7.02531646,6.26582278,,24.3003413
2940.2,7.02531646,6.26582278,,24.3003413
2940.4,7.02531646,6.26582278,,24.3003413
2940.6,7.02531646,6.26582278,,24.3003413
2940.8,7.02531646,6.26582278,,24.3003413
2941.0,7.02531646,6.26582278,,24.3003413
2941.2,7.02531646,6.26582278,,24.3003413
2941.4,7.02531646,6.26582278,,24.3003413
2941.6,7.02531646,6.26582278,,24.3003413
2941.8,7.02531646,6.26582278,,24.3003413
2942.0,7.02531646,6.26582278,,24.3003413
2942.2,7.02531646,6.26582278,,24.3003413
2942.4,7.02531646,6.26582278,,24.3003413
2942.6,7.02531646,6.26582278,,24.3003413
2942.8,7.02971742,6.29675271,,24.31556409
2943.0,7.02523716,6.35884269,,24.3003413
2943.2,7.02473966,6.43347001,,24.3003413
2943.4,7.02385031,6.48701496,,24.3003413
2943.6,7.02397156,6.5118199,,24.3003413
2943.8,7.02603823,6.52787688,,24.3003413
2944.0,7.02785128,6.55861113,,24.3003413
2944.2,7.02521794,6.60427855,,24.3003413
2944.4,7.01887501,6.6435326,,24.3003413
2944.6,7.01756353,6.65844164,,24.3003413
2944.8,7.02797793,6.65262705,,24.3003413
2945.0,7.03898663,6.64361759,,24.3003413
2945.2,7.0290883,6.64273889,,24.3003413
2945.4,6.99919188,6.64700067,,24.3003413
2945.6,6.99201878,6.6484826,,24.3003413
2945.8,7.06305305,6.6461892,,24.3003413
2946.0,7.22204807,6.64609084,,24.3003413
2946.2,7.41019535,6.65081005,,24.3003413
2946.4,7.5440294,6.6506889,,24.3003413
2946.6,7.5796977,6.6262098,,24.3003413
2946.8,7.53676094,6.56464461,,24.30038406
2947.0,7.47868297,6.47544385,,24.30052405
2947.2,7.48393652,6.3859925,,24.30058365
2947.4,7.61941638,6.31731985,,24.30033946
2947.6,7.90173044,6.26533018,,24.29995759
2947.8,8.26761005,6.21060604,,24.3001255
2948.0,8.60074796,6.14338092,,24.30108457
2948.2,8.81205604,6.06903224,,24.30163951
2948.4,8.896448,5.98811967,,24.30027876
2948.6,8.9122656,5.88479648,,24.29783996
2948.8,8.92444228,5.74732935,,24.29787798
2949.0,8.9814008,5.59370409,,24.30237424
2949.2,9.12184574,5.46176776,,24.30666264
2949.4,9.36015777,5.37208226,,24.30093905
2949.6,9.66022414,5.31335321,,24.27969449
2949.8,9.95702962,5.27066405,,24.25021434
2950.0,10.22603066,5.25488563,,24.2290524
2950.2,10.51095517,5.2885006,,24.22666339
2950.4,10.85312518,5.36787607,,24.23543734
2950.6,11.20130334,5.45615348,,24.23707084
2950.8,11.42817886,5.51584164,,24.22511895
2951.0,11.44853473,5.53564859,,24.21811591
2951.2,11.30660333,5.51980404,,24.24578748
2951.4,11.13579938,5.46598392,,24.31926385
2951.6,11.04461663,5.37429122,,24.415556
2951.8,11.05451603,5.2755239,,24.49296108
2952.0,11.13452209,5.22821785,,24.52347412
2952.2,11.26540632,5.27477139,,24.51293101
2952.4,11.45424444,5.40552118,,24.49412263
2952.6,11.6929899,5.57230858,,24.49985778
2952.8,11.9175203,5.73210362,,24.53740285
2953.0,12.02707297,5.86922774,,24.58433799
2953.2,11.95556863,5.98056636,,24.60811271
2953.4,11.72926791,6.05833119,,24.59168614
2953.6,11.45091692,6.09749246,,24.54177535
2953.8,11.22883372,6.11214958,,24.4748047
2954.0,11.12379361,6.13134192,,24.4019705
2954.2,11.1469434,6.17368063,,24.33232798
2954.4,11.2770423,6.22996744,,24.28421413
2954.6,11.46108243,6.27338512,,24.27918813
2954.8,11.62057178,6.2849302,,24.31813061
2955.0,11.69483616,6.26603975,,24.37051233
2955.2,11.6916182,6.22974967,,24.39687978
2955.4,11.67419559,6.18606482,,24.38171986
2955.6,11.68246857,6.13832669,,24.33811501
2955.8,11.67869475,6.08997064,,24.28313099
2956.0,11.58953527,6.04831144,,24.21882611
2956.2,11.40200431,6.01989201,,24.14257228
2956.4,11.20230414,6.00451617,,24.06713453
2956.6,11.11587851,5.99896235,,24.0182195
2956.8,11.21345792,6.00422574,,24.00965784
2957.0,11.46408462,6.02310749,,24.02867368
2957.2,11.75554456,6.05247888,,24.05062884
2957.4,11.9530277,6.08476144,,24.06444226
2957.6,11.96428928,6.12139396,,24.07750277
2957.8,11.78557372,6.17892622,,24.0978725
2958.0,11.50342287,6.27069387,,24.12163085
2958.2,11.24707615,6.3835986,,24.14207203
2958.4,11.12502088,6.48465292,,24.16530558
2958.6,11.18111742,6.55531642,,24.20853646
2958.8,11.3803864,6.61099016,,24.28198292
2959.0,11.62157791,6.67883251,,24.37722519
2959.2,11.78706548,6.76258738,,24.47581596
2959.4,11.82638423,6.84074227,,24.56386978
2959.6,11.80852087,6.89829927,,24.6331223
2959.8,11.86095079,6.94786646,,24.67127638
2960.0,12.02785511,7.01349159,,24.66249427
2960.2,12.19476931,7.10185942,,24.60459702
2960.4,12.18453675,7.19674688,,24.5212443
2960.6,11.93690086,7.27696241,,24.44915819
2960.8,11.57701539,7.33256693,,24.41142067
2961.0,11.30300463,7.36649731,,24.40610402
2961.2,11.22434337,7.39084135,,24.41870154
2961.4,11.31725784,7.42377549,,24.44177578
2961.6,11.50448886,7.47990036,,24.48173644
2961.8,11.73332067,7.5551511,,24.5508567
2962.0,11.96990367,7.62410249,,24.65324068
2962.2,12.16146927,7.66171901,,24.77462833
2962.4,12.25048205,7.66840227,,24.88380505
2962.6,12.22871443,7.66925497,,24.94830965
2962.8,12.1476459,7.68764083,,24.95340881
2963.0,12.05845479,7.7239171,,24.90884332
2963.2,11.95739582,7.76110696,,24.83752388
2963.4,11.80978357,7.78496834,,24.76112809
2963.6,11.61619541,7.79316159,,24.69601566
2963.8,11.42567631,7.78934987,,24.65763434
2964.0,11.27282919,7.77902045,,24.65958381
2964.2,11.12149994,7.77241464,,24.70641822
2964.4,10.90210396,7.78464057,,24.79189188
2964.6,10.61129505,7.82344009,,24.90207605
2964.8,10.35286399,7.87598822,,25.01253036
2965.0,10.25847856,7.91474253,,25.0812519
2965.2,10.3605544,7.92185734,,25.06072296
2965.4,10.54615883,7.90785494,,24.93559877
2965.6,10.64223943,7.90169967,,24.74856613
2965.8,10.55538385,7.92006852,,24.57552008
2966.0,10.34675982,7.94985085,,24.46834126
2966.2,10.18717494,7.96324219,,24.42809788
2966.4,10.22815652,7.94861637,,24.43334568
2966.6,10.48576057,7.92179598,,24.47874441
2966.8,10.82281113,7.90622628,,24.57143227
2967.0,11.04791457,7.90721028,,24.69616586
2967.2,11.05695527,7.91133318,,24.80428885
2967.4,10.90396973,7.9083195,,24.84771763
2967.6,10.74442231,7.90608482,,24.82137434
2967.8,10.70566086,7.91949537,,24.76878466
2968.0,10.79947717,7.94729272,,24.74692121
2968.2,10.9418863,7.96678889,,24.78201346
2968.4,11.03690842,7.95564882,,24.84956123
2968.6,11.03611904,7.91860337,,24.8943432
2968.8,10.93864869,7.88928726,,24.87772178
2969.0,10.77055731,7.9014986,,24.8159603
2969.2,10.58234173,7.95565538,,24.76838031
2969.4,10.44792952,8.01475346,,24.78014679
2969.6,10.4266109,8.03655859,,24.83599325
2969.8,10.51709064,8.00947288,,24.87674299
2970.0,10.66864391,7.95800407,,24.86237571
2970.2,10.84677823,7.91511796,,24.81014391
2970.4,11.06128016,7.89236495,,24.77012331
2970.6,11.30405552,7.87521472,,24.77432665
2970.8,11.48182623,7.84282706,,24.81665089
2971.0,11.46758557,7.7897399,,24.87154267
2971.2,11.24875138,7.73073923,,24.91541211
2971.4,10.99622661,7.68698904,,24.92929392
2971.6,10.93756248,7.6675433,,24.89900504
2971.8,11.14703412,7.66181052,,24.82748175
2972.0,11.47401908,7.65031904,,24.74496829
2972.2,11.68782261,7.62172011,,24.69649542
2972.4,11.68175571,7.58054301,,24.71112887
2972.6,11.52809774,7.53984436,,24.77803433
2972.8,11.35857326,7.50928518,,24.85011078
2973.0,11.2284629,7.48832263,,24.87399938
2973.2,11.10852935,7.46577253,,24.82860662
2973.4,10.98079068,7.42454855,,24.74349566
2973.6,10.90180852,7.35425324,,24.67497881
2973.8,10.95063997,7.26545679,,24.65334233
2974.0,11.12443861,7.189918,,24.64996099
2974.2,11.30568283,7.157143,,24.60411714
2974.4,11.34831196,7.16835713,,24.48790546
