DEPTH,BS,CALI,CHR1,CHR2,CHRP,CHRS,DRHO,DT1R,DT2,DT2R,DT4P,DT4S,GR,HD1,HD2,HD3,NPOR,PEF,RHOB,SPR1,TENS,VPVS
2193.036,311.1,308.6285,0.9672,0.9511,0.8591,0.0,-4.5836,648.5713,603.0959,637.4547,311.0284,537.259,45.7427,316.1042,299.1055,297.0981,0.3596,2.6578,2107.9136,66.1551,5645.0,1.8726
2193.1884,311.1,308.9605,0.9672,0.9511,0.8591,0.0,-4.6862,648.5713,603.0959,637.4547,311.0284,537.259,48.7082,315.8991,300.9124,297.9238,0.3567,2.6592,2111.6606,62.2926,5643.0,1.8726
2193.3408,311.1,308.7472,0.9672,0.9511,0.8591,0.0,-3.7228,648.5713,603.0959,637.4547,311.0284,537.259,46.7065,316.7083,301.1115,297.15,0.3557,2.6128,2113.4634,75.0683,5659.0,1.8726
2193.4932,311.1,309.0811,0.9672,0.9511,0.8591,0.0,-5.9603,648.5713,603.0959,637.4547,311.0284,537.259,47.5368,317.2007,299.4096,295.5205,0.371,2.5569,2117.1326,85.4504,5661.0,1.8726
2193.6456,311.1,309.6547,0.9672,0.9511,0.8591,0.0,-7.5235,648.5713,603.0959,637.4547,311.0284,537.259,48.8417,315.5686,296.1537,292.6058,0.3582,2.55,2112.731,82.3022,5737.0,1.8726
2193.798,311.1,308.2369,0.9672,0.9511,0.8591,0.0,-9.5555,648.5713,603.0959,637.4547,311.0284,537.259,50.5098,316.4377,290.9233,292.5748,0.3664,2.4949,2109.2258,82.4033,5695.0,1.8726
2193.9504,311.1,308.866,0.9672,0.9511,0.8591,0.0,-7.7766,648.5713,603.0959,637.4547,311.0284,537.259,52.0518,317.2458,295.1765,293.3449,0.3782,2.4842,2112.7859,76.6709,5663.0,1.8726
2194.1028,311.1,308.8491,0.9672,0.9511,0.8591,0.0,-9.5829,648.5713,603.0959,637.4547,311.0284,537.259,51.6812,317.7001,291.8896,291.3025,0.3884,2.5667,2116.6189,74.7731,5669.0,1.8726
2194.2552,311.1,309.1406,0.9672,0.9511,0.8591,0.0,-10.2895,648.5713,603.0959,637.4547,311.0284,537.259,54.9062,313.402,295.0275,288.4146,0.3717,2.6699,2116.7563,67.647,5609.0,1.8726
2194.4076,311.1,308.8066,0.9672,0.9511,0.8591,0.0,-11.7809,648.5713,603.0959,637.4547,311.0284,537.259,59.4137,313.5875,294.015,292.2162,0.4112,2.7233,2109.3064,71.456,5650.0,1.8726
